store_name,latitude,longitude
One Market,41.87010069999999,12.5313102
American Candy Corner,41.8776015,12.5184314
"Tigelleria Romana - Gnocco Fritto, Hamburger e Pinsa",41.9674509,12.517352
Crudo Sushi & Pokè,41.91427110000001,12.3866498
Eden Delicatese,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
Breakfast on Delivery,41.8967068,12.4822025
Stella sushi,41.8621995,12.5688678
Panino giusto,41.81661889999999,12.4583704
Drupa Caffe,41.9441202,12.3903066
One Market,41.87010069999999,12.5313102
SPARTA,41.9282681,12.5147931
Drupa Caffe,41.9441202,12.3903066
Caffetteria Gio,41.8987746,12.4684514
Gelateria Retro',41.8988676,12.4339363
Bombay ristorante indiano,41.8814212,12.5123576
Legami Sushi & More,41.911333,12.493917
Americaland,41.8967068,12.4822025
Panino giusto,41.81661889999999,12.4583704
Rugiati,41.871369,12.5152466
L’Enoteca di Maremma Gourmet,41.8728919,12.5276237
Gelateria Retro',41.8988676,12.4339363
Nonna che Pizza!,41.9079984,12.454081
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
One Market,41.87010069999999,12.5313102
Americaland,41.8967068,12.4822025
Gelateria Retro',41.8988676,12.4339363
100celle food,41.8870246,12.5614511
Solero Smoothies,41.939943,12.5128152
Mi'Ndujo,41.8967068,12.4822025
The Second,41.8967068,12.4822025
Pizzeria Pepè,41.8636139,12.5600881
A Tutta Bufala,41.9365503,12.516718
Enoteca Vago In Vino,41.869076,12.5271104
Pasticceria @ Dolcevita,41.922318,12.3758021
Pizza & Sfizi Kebab,41.9483215,12.532778
One Market,41.87010069999999,12.5313102
Hard Rock Cafe,41.90634,12.4897514
One Market,41.87010069999999,12.5313102
Madeleine,41.91881559999999,12.4611435
 La Miglior Colomba di Milano - DolceVita by Vergani,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
Maoli'- La Boutique Dei Sapori,41.8967068,12.4822025
Gold Burger,41.8834498,12.5377372
Ami Pokè,41.8967068,12.4822025
La Bottega Del Pizzolaio,41.9493191,12.6019361
Wrap Bubbles,41.8967068,12.4822025
Bombolone @ DolceVita,41.9006358,12.4801556
FOOLISH SHOP,41.8967068,12.4822025
Wrap Bubbles,41.8967068,12.4822025
Piccadilly,41.816723,12.4590339
Birreria Lapsutinna,41.8967068,12.4822025
Americaland,41.8967068,12.4822025
Sfilatino Gourmet,41.9132569,12.4513242
Bottega Visconti,41.9073467,12.4691735
LM Frutta,41.9029722,12.4872246
FOOLISH SHOP,41.8967068,12.4822025
Solero Smoothies,41.939943,12.5128152
Americaland,41.8967068,12.4822025
ODStore,41.8967068,12.4822025
Kathmandu fast food,41.8939882,12.5027381
Hard Rock Cafe,41.90634,12.4897514
Ferro Pizza,41.9090195,12.5220042
Drupa Caffe,41.9441202,12.3903066
Bottiglieria Pigneto,41.8879204,12.5298986
Smokery by Roadhouse,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
L'Enoteca Gourmet,41.8728919,12.5276237
Maledetti Toscani vinaio,41.9206214,12.45954
Americaland,41.8967068,12.4822025
Grammo,41.832494,12.4624778
Stella sushi,41.8621995,12.5688678
Panino giusto,41.81661889999999,12.4583704
American Candy Corner,41.8776015,12.5184314
FOOLISH SHOP,41.8967068,12.4822025
Amare Fish and Go,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Maremma Gourmet,41.9219471,12.5131776
Americaland,41.8967068,12.4822025
La casa de los Burritos,41.8787557,12.5448482
California Burger House,41.8645126,12.6459978
Himalaya's Kashmir,41.8944701,12.5073302
La Cantina di Pescaria,41.9127067,12.4416853
Lucky Sushi,41.9061126,12.4454153
FOOLISH SHOP,41.8967068,12.4822025
Fumo Bbq,41.90630609999999,12.5169777
Coca - Cola Restaurant & Bar,41.9083427,12.498038
La Santeria di Mare,41.88815839999999,12.5301674
Ham Holy Burger - Termini,41.9012873,12.5015756
Stella sushi,41.8621995,12.5688678
I Love Burger & much more,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Maremma Gourmet,41.9219471,12.5131776
One Market,41.87010069999999,12.5313102
Voglia di pane,41.9064613,12.4453775
Quintilium LV Cocktail Bar roma,41.8656639,12.5467095
Verdefresco,41.9069454,12.4951903
 Chiancheria Gourmet,41.8719042,12.4798009
California cookhouse,41.9385473,12.5328887
La Bufalina,41.8696917,12.4221504
Hard Rock Cafe,41.90634,12.4897514
Pangea,41.9420985,12.5253675
Jollibee,41.9083959,12.4578032
Beverly Hills Burger,41.9045889,12.5044974
 Chiancheria Gourmet,41.8719042,12.4798009
Pasqualino il Re del Panino,41.9287307,12.4263007
Lucky Sushi,41.9061126,12.4454153
Madeleine,41.91881559999999,12.4611435
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
Le lasagne di Nonna Rosa,41.9083427,12.498038
Colazione @ Dolce Vita,41.8997079,12.473359
O Rei Do Marisco,41.9112453,12.5240477
Pausa panino,41.8674396,12.4927454
Pausa panino,41.8674396,12.4927454
Fualdé L'Assaggio,41.9458083,12.5245708
Avocado Bar Roma,41.8938729,12.488272
La Topaia,41.8967068,12.4822025
A Tutta Bufala,41.9365503,12.516718
Lucky Sushi,41.9061126,12.4454153
Da Camelia,41.8967068,12.4822025
Farina Kitchen,41.8810099,12.4692667
Caffetteria Gio,41.8987746,12.4684514
La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988
Pizzeria Bella Roma,41.9154193,12.4549589
I dolci toscani,41.8757157,12.4534825
Wrap Bubbles,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
LM Frutta,41.9029722,12.4872246
Panino giusto,41.81661889999999,12.4583704
American Candy Corner,41.8776015,12.5184314
One Market,41.87010069999999,12.5313102
Così e la pizza bistrot,41.8448041,12.456531
Da Carmela - Pasta fatta a mano,41.8967068,12.4822025
Da Giovanni Rana,41.8511004,12.5995461
America Graffiti,41.8406865,12.5520659
Maoli'- La Boutique Dei Sapori,41.8967068,12.4822025
O Rei Do Marisco,41.9112453,12.5240477
Saloon del panino - Portuense,41.8597715,12.451424
The Second,41.8967068,12.4822025
I Love Burger & much more,41.8967068,12.4822025
Le lasagne di Nonna Rosa,41.9083427,12.498038
Elettroforno Frontoni Ostiense,41.8530942,12.4769029
Damplings,41.9350483,12.5362692
Americaland,41.8967068,12.4822025
Drupa Caffe,41.9441202,12.3903066
FOOLISH SHOP,41.8967068,12.4822025
Madeleine,41.91881559999999,12.4611435
American Candy Corner,41.8776015,12.5184314
Veggie Bistrot,41.896365,12.4565757
Lucky Sushi,41.9061126,12.4454153
Farina Kitchen,41.8810099,12.4692667
FOOLISH SHOP,41.8967068,12.4822025
Pausa panino,41.8674396,12.4927454
Drupa Caffe,41.9441202,12.3903066
La Santeria di Mare,41.88815839999999,12.5301674
 Chiancheria Gourmet,41.8719042,12.4798009
Jollibee,41.9083959,12.4578032
