country_code,city_code,store_name,latitude,longitude
IT,ROM,Pizzeria 22,41.9029853,12.414203
IT,ROM,H2O e Farina,41.9264263,12.4155027
IT,ROM,Kebabi,41.8718592,12.5280136
IT,ROM,La Piadineria,41.8967068,12.4822025
IT,ROM,Al trapezio 2,41.8967068,12.4822025
IT,ROM,La Tigelleria,41.8721635,12.4803745
IT,ROM,Er cortile,41.86506749999999,12.4693435
IT,ROM,La Cannoleria Siciliana,41.8967068,12.4822025
IT,ROM,Magnum - Gelato,41.8967068,12.4822025
IT,ROM,Tre Castelli Pinseria,41.8522186,12.4941781
IT,ROM,Ristretto,41.9161187,12.4587024
IT,ROM,T-Burger Pantheon,41.8767496,12.5198193
IT,ROM,Papa Re,41.889449,12.4749075
IT,ROM,Pizza Roma,41.8738399,12.6024413
IT,ROM,Casa Sapori,41.8111316,12.4840424
IT,ROM,Benvenuti al Sud da Simone,41.8796104,12.5784181
IT,ROM,Pasta in Corso,41.8988102,12.4676379
IT,ROM,Ice 2000 Snc Di Pietro Ezio E C,41.94724170000001,12.5436186
